views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
844361,6996,329,1038,21.26443768996971,0.3233333333333333,0.023333333333333334,0.16494999999999999,0.09572666666666663,0.73933,0.0854706666666667
797800,1712,168,0,10.19047619047619,,,0.0,0.0,1.0,0.0
531136,5421,883,741,6.139297848244611,0.354,0.182,0.08426199999999998,0.1655740000000001,0.7501839999999996,-0.12912359999999987
241355,22015,185,2368,119.0,0.06666666666666667,0.0033333333333333335,0.16477333333333333,0.07599666666666667,0.7559033333333337,0.13126099999999988
2347371,151340,667,27589,226.8965517241397,455.0250626566416,5.052631578947368,0.19116791979949876,0.044097744360902254,0.7647318295739348,0.2124052631578947
128751,6404,187,1205,34.24598930481268,0.1708542713567839,0.020100502512562814,0.13571859296482414,0.07560804020100502,0.7886934673366833,0.08704522613065331
186593,929,568,1386,1.6355633802816965,0.378,0.022,0.08697600000000008,0.15934,0.753662,-0.22029919999999992
7965099,176882,3925,24066,45.06547770700594,0.32,0.018333333333333333,0.18908999999999998,0.04022166666666666,0.7690183333333326,0.1788879999999998
2137378,178291,886,4245,201.23137697516916,0.125,0.0025,0.18215250000000008,0.051440000000000013,0.7639149999999997,0.18371524999999994
307749,11202,150,800,74.68000000000019,0.085,0.07,0.09721999999999997,0.14815,0.7546150000000001,-0.09894349999999996
1461691,22521,1309,1853,17.204736440030512,0.31,0.02,0.17148,0.11403,0.7144750000000001,0.09461400000000003
804591,16330,1442,3450,11.324549237170666,0.174,0.014,0.19097199999999995,0.07438999999999997,0.7346420000000004,0.12195899999999997
612722,1887,63,321,29.952380952380793,20.466911764705884,1.4669117647058822,0.12816911764705882,0.15645220588235292,0.7153713235294118,-0.05791911764705879
48507,2464,16,151,154.0,3.38,0.14,0.3963799999999998,0.00781,0.5958100000000003,0.5387179999999998
856592,10075,713,1648,14.13043478260877,0.112,0.006,0.19271399999999983,0.05636800000000003,0.7449279999999991,0.19155719999999982
56979,233,24,65,9.708333333333334,9.84375,0.75,0.16771875000000003,0.08199999999999999,0.7503125,0.22110312499999996
1303319,51274,983,3175,52.160732451678214,0.19285714285714287,0.005714285714285714,0.24414428571428565,0.06201142857142859,0.6938385714285716,0.25061842857142846
106586,3605,54,210,66.75925925925914,3.67170626349892,0.509719222462203,0.3082548596112315,0.04669114470842331,0.6450583153347735,0.40105399568034517
1583534,39158,1859,4399,21.064012910166685,0.09,0.0025,0.2080225,0.06981750000000002,0.7196624999999996,0.18122424999999998
311799,10929,217,27,50.364055299538684,0.11784511784511785,0.018518518518518517,0.10484848484848482,0.07652020202020202,0.8135673400673396,0.04571868686868687
467127,24509,2302,3058,10.646828844483032,0.34,0.10333333333333333,0.22076333333333342,0.09350333333333329,0.6823933333333336,0.15642233333333327
2133021,49357,2127,7307,23.204983544899203,0.07190635451505016,0.02508361204013378,0.13690468227424746,0.058546822742474934,0.8028695652173913,0.09781220735785941
1044056,46712,462,1337,101.10822510822561,0.1325,0.0,0.2652925000000001,0.033857500000000006,0.7008500000000001,0.2901564999999998
429424,28624,291,2208,98.36426116838499,0.1475,0.0025,0.21140500000000004,0.04356250000000001,0.7450499999999998,0.18214574999999977
107792,3498,56,395,62.46428571428593,0.8266666666666667,0.03333333333333333,0.17698333333333324,0.06798000000000001,0.7550733333333335,0.2134613333333331
54303,666,17,59,39.176470588235304,3.731707317073171,0.9512195121951219,0.22165853658536588,0.027780487804878042,0.7505609756097562,0.24979024390243898
70212,1070,50,186,21.400000000000045,6.3,0.215,0.15329000000000004,0.14961000000000002,0.6970849999999998,-0.028404999999999993
1710896,111709,1878,6270,59.48296059637904,0.1,0.03,0.3177183333333333,0.024565000000000003,0.656035,0.4273631666666665
340866,15401,121,1922,127.28099173553888,20.704,0.362,0.15610800000000002,0.02663399999999999,0.8172599999999999,0.22092540000000022
469549,34958,316,1694,110.62658227848175,0.555,0.04,0.21942499999999995,0.0402025,0.7403724999999999,0.23646374999999986
31797,5791,14,738,413.6428571428572,2.32,0.07,0.31307,0.05269999999999999,0.6342399999999999,0.4642819999999999
396811,10633,279,1552,38.11111111111105,1.6761133603238867,0.8178137651821862,0.20136032388663963,0.04150404858299596,0.7551012145748991,0.30115607287449414
873704,54663,639,3854,85.5446009389679,0.026,0.0,0.17465200000000017,0.05723000000000004,0.7680879999999993,0.21950000000000008
245620,3772,223,556,16.914798206277936,0.4225352112676056,0.2454728370221328,0.11394164989939631,0.1154144869215292,0.7706559356136821,-0.006660362173038243
966001,25724,1046,4802,24.592734225621715,2.8842857142857143,2.92,0.17089285714285715,0.06760714285714287,0.7615142857142868,0.1643549999999998
12115465,379224,135925,66509,2.7899503402611607,116.10666666666667,4.203333333333333,0.13063499999999983,0.11668666666666665,0.7526799999999995,0.022844500000000025
724916,31810,1747,3109,18.208357183743633,7.91,0.0725,0.14782249999999994,0.13034750000000006,0.721815,0.033654250000000024
409320,3813,2220,757,1.7175675675675797,0.540090771558245,0.024205748865355523,0.165234493192133,0.13866717095310127,0.6961255673222392,0.09435975794251121
400322,13386,754,1912,17.753315649867297,0.11705685618729098,0.028428093645484948,0.21930602006688973,0.11294816053511704,0.6677491638795988,0.15158093645484938
7198312,26768,3932,147,6.807731434384547,1.7008547008547008,1.017094017094017,0.11273504273504271,0.11656410256410256,0.7706495726495723,-0.0005957264957265084
426699,19224,269,4126,71.46468401487039,0.15,0.01,0.18680666666666657,0.03109,0.7821066666666667,0.23788433333333317
135142,1854,40,171,46.349999999999916,11.308390022675736,0.7346938775510204,0.2494240362811793,0.04029478458049886,0.7102993197278912,0.19414263038548749
3794392,70200,4587,9142,15.30412034009161,0.39,0.06,0.12333000000000001,0.1790400000000001,0.6942699999999995,-0.12373500000000003
158497,11737,137,508,85.67153284671537,0.13,0.01,0.28905,0.07350000000000001,0.63743,0.3370700000000001
9761,179,7,59,25.571428571428566,5.52,1.12,0.2802,0.058440000000000006,0.66132,0.415456
2438448,40682,1104,1632,36.849637681159635,0.076,0.004,0.20369400000000032,0.06956999999999999,0.7267280000000002,0.21342559999999985
196912,8690,256,744,33.9453125,0.8675,0.06,0.3611049999999997,0.02881,0.6100799999999993,0.57501625
734401,61972,423,1983,146.50591016548435,0.08,0.0,0.28695999999999994,0.03670000000000001,0.6763300000000001,0.28520999999999996
167869,1850,229,527,8.078602620087262,2.094949494949495,0.4080808080808081,0.13887070707070712,0.09377777777777785,0.763331313131313,0.09545474747474729
709460,21175,301,1422,70.3488372093019,0.06020066889632107,0.0,0.3691939799331103,0.046073578595317716,0.5847357859531772,0.4367428093645482
18744,1830,46,264,39.782608695652065,0.99,0.04,0.20080500000000004,0.0729,0.7262949999999997,0.242804
501626,12623,497,1355,25.398390342052185,0.19238476953907815,0.07014028056112225,0.23687174348697396,0.08013827655310621,0.6789879759519029,0.20052044088176332
3518322,74470,1478,1751,50.3856562922874,0.26166666666666666,0.05,0.20071666666666665,0.0848516666666667,0.7110966666666667,0.1243776666666666
156097,5904,190,488,31.073684210526604,0.13855421686746988,0.01606425702811245,0.3074497991967868,0.02234136546184739,0.6702329317269086,0.5555801204819277
51398,2540,104,347,24.423076923076938,1.6525,0.1,0.25684000000000007,0.06290499999999999,0.6802550000000005,0.3326349999999998
