title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
CHECK DESCRIPTION! Southern most point live webcam,2333602.0,4894.0,940.0,445.0,5.206382978723384,1.6331658291457287,0.34673366834170855,0.15035678391959792,0.0758291457286432,0.7637638190954771,0.05563517587939701
CHEMOTHERAPY HIT ME HARD (My First Cycle),389895.0,13971.0,146.0,1847.0,95.691780821918,0.06361323155216285,0.030534351145038167,0.22665648854961834,0.06032569974554707,0.7130330788804075,0.3421577608142494
CHICKEN GIRLS | Annie & Hayden in “Thursday” | Ep. 4,3185917.0,85570.0,1319.0,14089.0,64.87490523123566,0.09698996655518395,0.0,0.19930769230769224,0.083628762541806,0.7137157190635454,0.15426120401337784
CHILD GETS HIT WITH TODD FRAZIER FOUL BALL LINE DRIVE AT YANKEE STADIUM - Yankees v Twins,171837.0,70.0,19.0,111.0,3.6842105263157836,2.296,1.56,0.116016,0.14827999999999997,0.7356800000000001,-0.06643279999999999
"CHINESE Street Food Tour DEEP in Sichuan, CHINA - SPICY & INCREDIBLE STREET FOOD ADVENTURE!",424665.0,10345.0,318.0,2673.0,32.53144654088043,1.0066889632107023,0.33444816053511706,0.19598996655518386,0.034130434782608694,0.7698795986622073,0.2710357859531771
"CHIT CHAT GRWM | My Wedding Process, Wedding Dress & More!",85264.0,5903.0,62.0,775.0,95.20967741935475,0.11557788944723618,0.010050251256281407,0.25540201005025126,0.023854271356783918,0.7207587939698492,0.4607914572864323
CHIT-CHATTY GeT rEaDay WiTh mE + LOOK BOOK!! by SimplyFaceLogical,1337016.0,88227.0,1145.0,21867.0,77.0541484716159,124.63927855711422,1.8016032064128256,0.155685370741483,0.04991983967935872,0.7823707414829665,0.16965010020040067
CHOCOLATE CHIP COOKIE CUPCAKES - NERDY NUMMIES,422306.0,22594.0,249.0,3845.0,90.7389558232934,0.0,0.0,0.2197191011235955,0.02541573033707865,0.7548483146067414,0.2896089887640448
CHUCKY HALLOWEEN COSTUME MAKEUP TUTORIAL W/ RAWBEAUTYKRISTI,103860.0,7146.0,57.0,490.0,125.3684210526317,0.3157894736842105,0.11027568922305764,0.2734486215538848,0.07453383458646617,0.6520576441102756,0.34085413533834574
CNCO - Mamita (Audio),1456623.0,135587.0,1933.0,15740.0,70.14330056906341,0.7135678391959799,0.02512562814070352,0.0561507537688442,0.03308542713567839,0.9107788944723617,0.01569899497487437
CNN's Jim Acosta,15100.0,34.0,188.0,117.0,0.18085106382978702,5.611940298507463,0.8208955223880597,0.1441641791044776,0.19149253731343285,0.664313432835821,-0.18369104477611936
COLLEGE KIDS REACT TO MARINA AND THE DIAMONDS,659531.0,32465.0,808.0,9591.0,40.17945544554458,2.7474747474747474,0.24242424242424243,0.13924242424242425,0.06355555555555557,0.797191919191919,0.14790202020202026
CONFRONTING MY FIRST LOVE,3608943.0,332588.0,4174.0,39822.0,79.68088164829898,0.07537688442211055,0.007537688442211055,0.23765829145728634,0.08813065326633164,0.6742010050251247,0.23883040201005024
COOK OFF! (2017 Movie) – Official Trailer,409320.0,3813.0,2220.0,757.0,1.7175675675675797,0.4666666666666667,0.024242424242424242,0.16548484848484835,0.1380621212121211,0.6964803030303033,0.09532439393939379
COOKING TINY FOOD WHILE CONJOINED CHALLENGE!!,2137378.0,178291.0,886.0,4245.0,201.23137697516916,0.11528822055137844,0.002506265664160401,0.18201754385964922,0.051568922305764424,0.7639147869674183,0.18298446115288214
COUPLE'S FIRST MERCH!!!!,848558.0,40760.0,370.0,3902.0,110.16216216216154,27.34869739478958,3.7274549098196395,0.15743286573146292,0.02316633266533066,0.819402805611223,0.17683707414829655
COVERGIRL #IAmWhatIMakeUp | Made In The Mirror,1623683.0,471.0,131.0,158.0,3.5954198473282326,4.679389312977099,0.7557251908396947,0.20217175572519083,0.04974427480916029,0.748083969465649,0.21684961832061062
Call Me By Your Name - Clip - Dance Party,135883.0,1479.0,30.0,199.0,49.299999999999564,13.092213114754099,0.2848360655737705,0.2323750000000001,0.09009426229508191,0.6775389344262299,0.20939303278688517
Calvin Harris - Hard to Love (Official Video) ft. Jessie Reyez,5127806.0,149929.0,8827.0,4964.0,16.985272459499324,0.1708542713567839,0.0,0.25439195979899504,0.05726130653266332,0.6883718592964827,0.2844924623115577
Cam Newton: I'm trying to win any way possible,24149.0,185.0,16.0,157.0,11.5625,6.186046511627907,1.3682170542635659,0.1313759689922481,0.15774031007751932,0.7108837209302323,-0.040174806201550374
Camila Cabello - Havana Acoustic | Elvis Duran Live,469549.0,34958.0,316.0,1694.0,110.62658227848173,0.5288220551378446,0.040100250626566414,0.21882957393483707,0.04030325814536341,0.7408671679197993,0.2354601503759397
Camila Cabello: Havana,1226940.0,90350.0,1721.0,7418.0,52.498547356188276,0.0,0.0989010989010989,0.24337362637362644,0.04025274725274725,0.7163846153846154,0.27950769230769235
Can Demi Lovato remember her own lyrics?,1635293.0,47877.0,317.0,1199.0,151.03154574132412,0.16722408026755853,0.006688963210702341,0.22488294314381274,0.08116722408026757,0.6939431438127096,0.22003678929765885
Can You Assume Sexuality Based on a First Impression? | Tell My Story,389363.0,16146.0,648.0,1686.0,24.916666666666668,0.10552763819095477,0.0,0.3032964824120602,0.047804020100502505,0.6488894472361807,0.3759150753768842
Can a Laser Cook Potato Chips?,601410.0,11390.0,1420.0,2043.0,8.021126760563337,10.87719298245614,0.3533834586466165,0.13393483709273174,0.09811528822055142,0.7679573934837095,0.06921303258145374
Canadian Prime Minister Justin Trudeau talks Trump and Gender Parity I MPW 2017,7959.0,61.0,74.0,141.0,0.8243243243243233,3.1940298507462686,0.3880597014925373,0.11688059701492537,0.15597014925373137,0.7271194029850748,-0.09241791044776118
Canelo Alvarez vs. Gennady Golovkin fight ruled a draw | SportsCenter | ESPN,1681166.0,8432.0,1491.0,5031.0,5.655264922870574,0.10702341137123746,0.010033444816053512,0.1647357859531773,0.13145484949832775,0.703829431438127,0.0013163879598662206
Canelé de Bordeaux - Crispy Baked French Custard Cakes - How to Make Canelés,284006.0,8561.0,204.0,993.0,41.96568627451018,0.22845691382765532,0.03206412825651302,0.1688476953907815,0.07109418837675348,0.760072144288577,0.16985651302605198
Capital Kings - Rip It Up (feat. Aaron Cole) [Official Music Video],64624.0,5055.0,148.0,567.0,34.15540540540523,0.1457286432160804,0.010050251256281407,0.19665326633165814,0.043095477386934665,0.7602361809045224,0.19957185929648233
Car Hits Cyclist in East Flatbush,17019.0,26.0,131.0,78.0,0.19847328244274817,5.4520547945205475,0.5981735159817352,0.11641095890410966,0.19052054794520534,0.6931324200913241,-0.12270593607305931
Cardi B Explains How NYPD Put Her In A Chokehold *Explicit Language Warning*,11417.0,21.0,2.0,16.0,10.5,0.35294117647058826,0.17647058823529413,0.21476470588235297,0.15600000000000003,0.629235294117647,-0.05153529411764706
Cardi B Performs Bodak Yellow,647980.0,15813.0,1468.0,1779.0,10.77179836512266,0.13377926421404682,0.030100334448160536,0.13282608695652173,0.10255518394648834,0.7612775919732443,0.06524615384615383
Carlos Vives - Pescaíto (Official Video),731862.0,16051.0,572.0,702.0,28.061188811188902,0.4088176352705411,0.050100200400801605,0.05603406813627255,0.018196392785571138,0.9257615230460925,0.05865390781563128
Carly Pearce - Hide The Wine (Static),3694.0,162.0,2.0,14.0,81.0,0.5,0.0,0.29083333333333333,0.0,0.7091666666666666,0.4622
Carly Rae Jepsen - Cut To The Feeling,652319.0,26543.0,755.0,1370.0,35.15629139072876,0.08433734939759036,0.014056224899598393,0.23991566265060232,0.06421887550200804,0.6958574297188751,0.2547230923694778
