title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score,compound_score_comm
BIG ANNOUNCEMENT ON MY POPSCICLE,686381,36812,1322,15557,27.845688350983366,1.0,0.0,0.09643750000000001,0.1645625,0.739,-0.031106250000000005,0.0
BIG JB-Weld Diamond Coring Bit | Workshop Fabricobblin' Fun!,217735,13284,218,2483,60.93577981651376,1.0,0.0,0.03133333333333333,0.32466666666666666,0.644,-0.03046666666666666,0.7177
BLADE RUNNER 2049 - Black Out 2022 Anime Short,501565,17660,190,1222,92.94736842105263,3.0,0.0,0.0,0.0,1.0,0.0,0.0
BLIND TASTE TEST // Grace Helbig,169585,10610,63,1109,168.4126984126984,1.0,0.0,0.132875,0.075,0.792125,0.015375,-0.1613
BLINDFOLD GYMNASTICS CHALLENGE😱,315054,9284,432,352,21.49074074074074,22.0,3.0,0.0,0.0,1.0,0.0,0.0
BMW Hot Tub First Tests and Issues,1190176,32115,1031,1784,31.14936954413191,6.0,0.0,0.151,0.0,0.849,0.4939,0.0
BMW X3. On a 360°mission to mars. A virtual testdrive.,40029,898,57,88,15.75438596491228,23.0,2.0,0.334,0.0,0.666,0.8898,0.0
BOUGHT MY PARENTS A MANSION! *emotional*,1818761,137220,1922,17019,71.39438085327784,5.0,0.0,0.375,0.038,0.587,0.8835,0.0
BOYFRIEND BUYS MY OUTFITS!,3245570,223798,1184,18159,189.0185810810811,4.0,0.0,0.283,0.0,0.717,0.743,0.0
BTS (방탄소년단) 'DNA' Official MV,41500672,2010366,78076,736179,25.748834468978945,8.0,1.0,0.0,0.0,1.0,0.0,0.0
BTS (방탄소년단) 'DNA' Official Teaser 1,15035822,1056548,12656,161642,83.48198482932996,5.0,0.5,0.23425,0.21125,0.5549999999999999,-0.05022500000000002,-0.25
BUG PUPPET + DRUM PADS,51935,5990,35,463,171.14285714285714,11.0,2.0,0.489,0.0,0.511,0.6988,0.0
BURGER KING | Bullying Jr.,572681,4238,291,518,14.563573883161512,20.0,1.0,0.219,0.0,0.781,0.4215,-0.5994
Baby Hippo Fiona - Episode 4 More to Explore - Cincinnati Zoo,34389,1045,10,126,104.5,60.0,2.0,0.344,0.0,0.656,0.6369,0.0
Back Away Slowly (when you stumble upon a couple fight and back away slowly until you're in the Andr,10453,547,52,65,10.51923076923077,202.0,10.0,0.341,0.0,0.659,0.4838,-0.3818
Bad Breath Tester?! | 10 Wacky Ebay Products!,1361152,95092,2327,10897,40.86463257412978,1310.0,500.0,0.0,0.155,0.845,-0.7443,-0.6229
Baez belts two homers as Cubs force Game 5: 10/18/17,184787,735,140,432,5.25,60.0,35.0,0.086,0.24,0.674,-0.6249,0.0
Bailey Bryan - Too Good [Official Cover],2607,116,3,11,38.66666666666666,0.0,0.0,0.49533333333333324,0.0195,0.48522222222222233,0.7255277777777778,0.4404
Barkley One-Hand Grab and Run vs. Indiana,46875,188,10,55,18.8,26.0,2.0,0.304,0.0,0.696,0.7906,0.0
Batman vs IT/Pennywise FULL TRAILER (Fan-Made) [HD],731547,13123,877,1925,14.96351197263398,8.0,3.0,0.0,0.0,1.0,0.0,0.0
Bea Miller - brand new eyes (From Wonder/Official Video),179556,20156,61,831,330.42622950819674,8.0,0.0,0.0,0.0,1.0,0.0,0.0
Bear in Russian traffic,201549,1944,101,260,19.247524752475247,8.0,0.0,0.0,0.0,1.0,0.0,0.0
Bears Wanted to Hitch a Ride,15098,56,6,20,9.333333333333334,8.0,0.5,0.0,0.0,1.0,0.0,0.0
Bears vs. Packers | NFL Week 4 Game Highlights,1110677,9310,1068,1860,8.717228464419476,6.0,0.0,0.0,0.535,0.465,-0.3182,0.0
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Lyric Video],1338267,51387,678,1866,75.79203539823008,17.0,1.0,0.223,0.022,0.755,0.9538,0.0
Beck - Colors (Slime Visualizer),261345,5890,188,619,31.329787234042552,25.0,0.0,0.385,0.0,0.615,0.3612,0.0
Behind the Scenes Subaru WRX STI Type RA NBR Special Nurburgring,72124,1018,13,93,78.3076923076923,32.0,18.0,0.05,0.052,0.898,-0.0258,0.4019
Behind the Sides,155070,9021,112,29,80.54464285714286,5.0,0.0,0.311,0.062,0.627,0.9554,0.0
Being A Gay Asian Woman: My Experience | Ingrid Nilsen,166185,5835,361,997,16.16343490304709,317.0,25.0,0.22,0.0,0.78,0.9246,0.0
Bell's Theorem: The Quantum Venn Diagram Paradox,1077745,40701,1186,4364,34.31787521079258,2548.0,244.0,0.0,0.256,0.744,-0.7576,-0.1027
Bella Hadid Goes Sneaker Shopping With Complex,899998,25633,1672,3873,15.330741626794259,3.0,0.0,0.0495,0.138,0.8125,-0.35015,0.0
Bella Hadid Roughs Up Security Roughing Up Female Photog | TMZ,483496,1369,1645,1115,0.8322188449848025,284.0,1.0,0.224,0.288,0.487,-0.3774,0.34
Bernie Sanders Tries To Say Something Nice About Trump,1493731,23472,3490,5872,6.725501432664757,2.0,0.0,0.1825,0.0805,0.737,0.31294999999999995,0.4215
Best Fast Chargers for iPhone 8 / iPhone X - Everything You Need to Know,5660,220,5,44,44.0,18.0,2.0,0.483,0.0,0.517,0.7603,0.6369
Best Floyd Mayweather Interview | Awkward Puppets,1353041,49056,840,3295,58.4,5234.0,329.0,0.0,0.0,1.0,0.0,0.5574
Best Friends Challenge with Demi Lovato,625564,15712,333,728,47.18318318318318,73.0,0.0,0.578,0.0,0.422,0.6269,0.8225
"Best Mic'd Up Sounds of Week 1, 2017 | Sound FX | NFL Films",215449,2973,86,351,34.56976744186046,166.0,10.0,0.0,0.0,1.0,0.0,0.6369
Best Tom Petty Interview Ever,2143,16,2,4,8.0,1.0,0.0,0.0,0.184,0.8160000000000001,-0.27115,0.5267
