video_id,category_id,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
-DGXHMOhXAw,26,,,,,,,,,,,
-DGXHMOhXAw,27,417140.0,13266.0,102.0,519.0,130.05882352941248,15.6625,0.755,0.13076750000000004,0.09290749999999993,0.7763325000000004,0.040326000000000015
-DGXHMOhXAw,28,,,,,,,,,,,
-DGXHMOhXAw,29,,,,,,,,,,,
-DGXHMOhXAw,43,,,,,,,,,,,
-Denciie5oA,1,,,,,,,,,,,
-Denciie5oA,2,,,,,,,,,,,
-Denciie5oA,10,,,,,,,,,,,
-Denciie5oA,15,,,,,,,,,,,
-Denciie5oA,17,,,,,,,,,,,
-Denciie5oA,19,,,,,,,,,,,
-Denciie5oA,20,,,,,,,,,,,
-Denciie5oA,22,,,,,,,,,,,
-Denciie5oA,23,,,,,,,,,,,
-Denciie5oA,24,2576398.0,17999.0,1551.0,2538.0,11.60477111540935,0.12,0.02666666666666667,0.1326,0.14194999999999994,0.725466666666667,-0.05594333333333335
-Denciie5oA,25,,,,,,,,,,,
-Denciie5oA,26,,,,,,,,,,,
-Denciie5oA,27,,,,,,,,,,,
-Denciie5oA,28,,,,,,,,,,,
-Denciie5oA,29,,,,,,,,,,,
-Denciie5oA,43,,,,,,,,,,,
-Egtbs-go4Q,1,,,,,,,,,,,
-Egtbs-go4Q,2,,,,,,,,,,,
-Egtbs-go4Q,10,,,,,,,,,,,
-Egtbs-go4Q,15,,,,,,,,,,,
-Egtbs-go4Q,17,,,,,,,,,,,
-Egtbs-go4Q,19,,,,,,,,,,,
-Egtbs-go4Q,20,,,,,,,,,,,
-Egtbs-go4Q,22,,,,,,,,,,,
-Egtbs-go4Q,23,,,,,,,,,,,
-Egtbs-go4Q,24,,,,,,,,,,,
-Egtbs-go4Q,25,,,,,,,,,,,
-Egtbs-go4Q,26,,,,,,,,,,,
-Egtbs-go4Q,27,,,,,,,,,,,
